[
  "2019-06-01 00:30:00",
  "Conferência Internacional de Doadores: Reconstrução deverá obedecer adaptação às alterações climáticas",
  "https://www.jornalnoticias.co.mz/index.php/beira/90305-conferencia-internacional-de-doadores-reconstrucao-devera-obedecer-adaptacao-as-alteracoes-climaticas",
  "Beira",
  "2154",
  "A RECONSTRUÇÃO e recuperação pós-ciclones Idai e Kenneth deverão obedecer a um modelo de adaptação às alterações climáticas replicável nas zonas de elevada vulnerabilidade, segundo afirmou ontem, na Beira, o Ministro das Obras Públicas, Habitação e Recursos Hídricos, João Machatine."
]
[
  "2019-06-01 00:30:00",
  "FILIPE NYUSI: A reconstrução pós ciclones será longo e requere organização",
  "https://www.jornalnoticias.co.mz/index.php/beira/90311-filipe-nyusi-e-a-reconstrucao-pos-ciclones-processo-sera-longo-e-requere-nossa-organizacao",
  "Beira",
  "2923",
  "O Presidente da República, Filipe Nyusi, adverte que a reconstrução pós ciclones Idai e Kenneth será um processo longo, que vai exigir o envolvimento de todos moçambicanos, sendo por isso bem-vinda toda a contribuição que vier dos doadores internacionais.\nFalando ontem a jornalistas momentos após desembarcar na cidade da Beira, onde hoje vai orientar a conferência de internacional de doadores, o Chefe do Estado disse que o mundo já sabe o que aconteceu em Moçambique com a passagem dos dois ciclones, cabendo agora aos moçambicanos dizer aos parceiros internacionais, de forma estruturada, o que é necessário para a reconstrução e recuperação das zonas atingidas.\nSegundo dados confirmados pelo Governo, são necessários 3,2 mil milhões de dólares americanos para reconstruir as áreas afectadas pelos ciclones, em sete províncias do país.\nDe facto, o encontro com os doadores internacionais iniciou ontem na capital provincial de Sofala, numa sessão orientada pelo Primeiro-ministro, Carlos Agostinho do Rosário, que, no fim, manifestou satisfação pelo interesse dos doadores em conceder os recursos necessários para financiar, por exemplo, a reposição das estradas, com destaque para as terciárias e vicinais, de modo a assegurar o rápido restabelecimento da conectividade rural.\nO Primeiro-ministro encorajou o apoio às iniciativas de alocação de novos recursos para a reconstrução pós-calamidades, contrariamente à opção de reorientar os financiamentos que sustentam alguns programas em curso.\n“Saudamos e encorajamos a iniciativa de se canalizar os recursos para a reconstrução através da plataforma Parceiros de Cooperação/Gabinete de Reconstrução pós-calamidades/sectores. Estamos certos que esta plataforma irá contribuir para uma melhor coordenação, gestão transparente e uso dos recursos disponibilizados”, afirmou.\nAcrescentou que o Governo assume o compromisso de tudo fazer para garantir que a implementação dos vários projectos integrados no amplo programa de reconstrução ocorra de forma célere e em tempo útil e que os recursos sejam aplicados de forma transparente, única e exclusivamente para este propósito.\nFalou ainda da visão do Governo de deixar de mobilizar recursos para reconstruir as mesmas infra-estruturas outrora destruídas, tendo em conta a frequência dos eventos extremos que tem assolado o país.\n“As mudanças climáticas vieram para ficar. É assim que encorajamos e apoiamos as iniciativas que visam conceder assistência à população na reconstrução das suas habitações seguindo padrões de construção que garantam maior resiliência das mesmas”, afirmou.\nSobre o relatório apresentado pelo Gabinete de Reconstrução, Carlos Agostinho do Rosário referiu-se ao facto de o processo de recuperação vir a levar tempo, o que exige a identificação de acções que possam ser implementadas a curto, médio e longo prazos.\nNas acções de curto prazo, por exemplo, considerou fundamental que se priorize o equilibro entre a recuperação dos danos causados nas infra-estruturas e o relançamento da actividade económica com destaque para a agricultura.\n“Ao apostar na agricultura, estaremos a criar condições para garantir uma rápida recuperação da base da nossa economia, melhorar os níveis de segurança alimentar e tirar a população afectada da dependência em relação à ajuda alimentar”, argumentou o Primeiro-ministro.\nA conferência de doadores termina ainda hoje, havendo a expectativa de que os parceiros se pronunciem sobre aquilo que será a sua contribuição para a reconstrução."
]
[
  "2019-06-01 00:30:00",
  "Munícipes invadem área de segurança da linha férrea",
  "https://www.jornalnoticias.co.mz/index.php/capital/nampula/90292-municipes-invadem-area-de-seguranca-da-linha-ferrea",
  "Nampula",
  "1518",
  "A ÁREA de segurança da linha férrea, na cidade de Nampula, está a ser invadida por residências e vendedores, o que tem resultado em acidentes fatais e pôr em risco a segurança na linha. Esta situação está a preocupar os gestores do Corredor de Nacala."
]
[
  "2019-06-03 00:30:00",
  "CONFERÊNCIA INTERNACIONAL DE DOADORES PÓS-CICLONES: Governo animado com resultados",
  "https://www.jornalnoticias.co.mz/index.php/beira/90341-conferencia-internacional-de-doadores-pos-ciclones-governo-animado-com-resultados",
  "Beira",
  "3067",
  "O PRESIDENTE da República, Filipe Nyusi, garante que o Governo vai reunir o valor necessário para a financiar a reconstrução pós-ciclones Idai e Kenneth, para o que promete mais trabalho com os parceiros de desenvolvimento, de modo a identificarem-se outras soluções de financiamento.\nFalando sábado na cidade da Beira, no final da Conferência Internacional de Doadores organizada para mobilizar 3,2 mil milhões de dólares americanos para a reconstrução, Filipe Nyusi assegurou que os 1.2 mil milhões de dólares prometidos no evento serão criteriosamente geridos, tendo apelado aos parceiros paracolaborarem no desenho dos projectos, de modo a serem apurados os custos reais de execução.\n“Vamos criar a inclusão necessária para que a cidade da Beira, a província de Sofala e todas as outras províncias afectadas pelo ciclone sejam reconstruídas em tempo recorde. Continuaremos a comunicar-nos permanentemente, a dizer o que existe, o que temos e o que queremos fazer, porque a comunicação é uma das formas de transparência e faz com que as pessoas que nos ajudam o possam fazer mais e tenham a certeza de que os seus apoios estão a servir aos destinatários”, disse o Chefe do Estado.\nRecordou que a avaliação global das necessidades dos sectores social, produtivo e para área de infra-estruturas contou com a participação dos parceiros de cooperação da União Europeia e da Organização das Nações Unidas.\nFilipe Nyusi observou que a urgência na mobilização do montante global é crucial para que os alicerces da estabilidade macroeconómica não sejam demasiadamente afectados, facto que, a acontecer, tornaria a recuperação muito lenta.\nLembrou igualmente que a lei orçamental para 2019 previa uma taxa de crescimento do PIB de 4.7 por cento,mas nas actuais previsões pós-Idai e Kenneth o crescimento poderá ser apenas de dois por cento.\n“Prevê-se que o défice orçamental venha a aumentar, isto traz implicações graves nos níveis de pobreza e produção. Portanto, mais uma vez,coloca-se prova à nossa governação, mas estamos determinados a enfrentar todas as adversidades”, assegurou.\nOdirector do Gabinete de Reconstrução Pós-ciclones Idai e Kenneth, Francisco Pereira, considera que o facto de os parceiros terem anunciado a disponibilidade de alugar com 1,2 mil milhões de dólares deve ser visto como um êxito, uma vez que, segundo ele,  os 3,2 mil milhões de dólares traduzem uma projecção de longo prazo, que se pode estender por pelo menos cinco anos.\nÉ nesta perspectiva que o Ministro da Economia e Finanças, Adriano Maleiane, explicou que, ao longo dos próximos anos,o Governo vai interagir com os parceiros para obter a diferença do valor que não conseguiu alcançar nesta conferência internacional."
]
[
  "2019-06-03 00:30:00",
  "Segundo Francisco Pereira: Reconstrução arranca ainda este ano",
  "https://www.jornalnoticias.co.mz/index.php/beira/90321-segundo-francisco-pereira-reconstrucao-arranca-ainda-este-ano",
  "Beira",
  "2004",
  "ARRANCAM ainda este ano, na cidade da Beira, algumas acções de  reconstrução das infra-estruturas e habitações, incluindo o sector produtivo e empresarial, arrasados, entre os dias 14 e 15 de Março passado, pela passagem do ciclone tropical Idai."
]
[
  "2019-06-03 00:30:00",
  "Vendedores da rua: Vahanle responsabiliza agentes económicos",
  "https://www.jornalnoticias.co.mz/index.php/capital/nampula/90318-vendedores-da-rua-vahanle-responsabiliza-agentes-economicos",
  "Nampula",
  "1373",
  "O PRESIDENTE do Conselho Autárquico de Nampula, Paulo Vahanle, diz que o problema de exposição e venda de produtos diversos pelos comerciantes informais nas ruas e avenidas, sobretudo, defronte dos estabelecimentos comerciais formais é da inteira responsabilidade dos respectivos proprietários."
]
[
  "2019-06-04 00:30:00",
  "Reconstrução Pós-Idai: PR apela à união de esforços",
  "https://www.jornalnoticias.co.mz/index.php/beira/90363-reconstrucao-pos-idai-pr-apela-a-uniao-de-esforcos",
  "Beira",
  "2023",
  "O PRESIDENTE da República,Filipe Nyusi, apelou sábado à união de esforços para uma recuperação urgente da cidade da Beira, o segundo maior centro urbano do país, que foi o epicentro do ciclone tropical Idai no dia 14 de Março, deixando-o profundamente devastado."
]
[
  "2019-06-04 00:30:00",
  "Transportes Público de Passageiros: Trinta e seis autocarros imobilizados",
  "https://www.jornalnoticias.co.mz/index.php/capital/nampula/90367-transportes-publico-de-passageiros-trinta-e-seis-autocarros-imobilizados",
  "Nampula",
  "1391",
  "TRINTAe seis autocarros da Empresa Municipal de Transportes Públicos (EMTPN), na cidade de Nampula, continuam imobilizados em consequência de diversos tipos de avarias mecânicas, não se sabendo ao certo a razão porque não são reparados."
]
[
  "2019-06-05 00:30:00",
  "IICB recebe material siderúrgico",
  "https://www.jornalnoticias.co.mz/index.php/beira/90409-iicb-recebe-material-siderurgico",
  "Beira",
  "2076",
